annotation_id	locus_tag	protein_id	gene	product
2353	SA_RS11905	WP_000503822.1	.	molybdenum cofactor biosynthesis protein
2354	SA_RS11910	WP_000076930.1	.	molybdopterin biosynthesis protein MoeB
2356	SA_RS11920	WP_001113093.1	.	molybdenum ABC transporter permease subunit
2358	SA_RS11930	WP_001030823.1	.	formate dehydrogenase accessory protein FdhD
2372	SA_RS12000	WP_000036076.1	.	transcriptional regulator
2384	SA_RS12060	WP_000417018.1	.	2-hydroxyacid dehydrogenase
2387	SA_RS12075	WP_000921246.1	.	membrane protein
2396	SA_RS12120	WP_000429674.1	.	alanine glycine permease
2398	SA_RS12130	WP_000205307.1	.	membrane protein
2400	SA_RS12140	WP_000285450.1	.	haloacid dehalogenase
2402	SA_RS12150	WP_000904065.1	.	hypothetical protein
2414	SA_RS12210	WP_000277968.1	.	formimidoylglutamase
2416	SA_RS12220	WP_000655864.1	.	ribose-5-phosphate isomerase
2426	SA_RS12270	WP_001279375.1	.	type 2 isopentenyl-diphosphate Delta-isomerase
2428	SA_RS12280	WP_000234727.1	.	3-hydroxyacyl-CoA dehydrogenase
2430	SA_RS12290	WP_000620864.1	.	esterase
2434	SA_RS12310	WP_000828569.1	.	TetR family transcriptional regulator
2441	SA_RS12345	WP_001229920.1	.	hemin ABC transporter ATP-binding protein
2443	SA_RS12355	WP_000249497.1	.	DNA-binding response regulator
2444	SA_RS12360	WP_000477338.1	.	two-component sensor histidine kinase
2445	SA_RS12365	WP_023604938.1	.	LytTR family transcriptional regulator
2447	SA_RS12375	WP_000211366.1	.	malate:quinone oxidoreductase
2448	SA_RS12380	WP_000960858.1	.	L-lactate permease
2456	SA_RS12420	WP_001253464.1	.	membrane protein
2459	SA_RS12435	WP_000656771.1	.	TetR family transcriptional regulator
2460	SA_RS12440	WP_000633068.1	.	magnesium transporter CorA
2475	SA_RS12515	WP_000186933.1	.	hypothetical protein
2477	SA_RS12525	WP_000606768.1	.	nitrate reductase subunit delta
2492	SA_RS12600	WP_000162810.1	.	protein disulfide-isomerase
2497	SA_RS12625	WP_000825921.1	.	amino acid ABC transporter substrate-binding protein
2500	SA_RS12640	WP_000762708.1	.	hypothetical protein
2501	SA_RS12645	WP_001125208.1	gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
2502	SA_RS12650	WP_000019127.1	.	transporter
2512	SA_RS12700	WP_001046645.1	.	biotin synthase
2521	SA_RS12745	WP_000779360.1	.	hypothetical protein
2538	SA_RS12830	WP_000398941.1	.	amino acid ABC transporter permease
2539	SA_RS12835	WP_000721551.1	.	glycine/betaine ABC transporter substrate-binding protein
2554	SA_RS12910	WP_000732076.1	.	hypothetical protein
2558	SA_RS12930	WP_000598772.1	.	peptide ABC transporter ATP-binding protein
2561	SA_RS12945	WP_000472243.1	.	nickel ABC transporter permease
2619	SA_RS13235	WP_000376235.1	.	MarR family transcriptional regulator
2620	SA_RS13240	WP_000067116.1	.	acetyltransferase
2627	SA_RS13275	WP_000759366.1	.	class A sortase SrtA
2632	SA_RS13300	WP_001140234.1	.	L-serine dehydratase, iron-sulfur-dependent subunit beta
2635	SA_RS13315	WP_001557526.1	.	transporter
2639	SA_RS13335	WP_000473678.1	.	PTS glucoside EIICBA component
2641	SA_RS13345	WP_001001019.1	.	holin-like protein CidB
2642	SA_RS13350	WP_000549734.1	.	holin-like protein CidA
2644	SA_RS13360	WP_000011687.1	.	hypothetical protein
2647	SA_RS13375	WP_000151982.1	.	hydroxymethylglutaryl-CoA synthase
2656	SA_RS13420	WP_000259692.1	.	1-pyrroline-5-carboxylate dehydrogenase
2658	SA_RS13430	WP_001221404.1	.	hypothetical protein
2660	SA_RS13440	WP_000076661.1	.	copper chaperone CopZ
2669	SA_RS13485	WP_000379821.1	.	O-acetyltransferase OatA
2675	SA_RS13515	WP_000901509.1	.	TetR family transcriptional regulator
2678	SA_RS13530	WP_000616225.1	.	glyoxalase
2692	SA_RS13600	WP_000277419.1	.	dihydroorotate dehydrogenase 2
2693	SA_RS13605	WP_000159839.1	.	membrane protein
2694	SA_RS13610	WP_000606210.1	.	hypothetical protein
2695	SA_RS13615	WP_000125705.1	.	hypothetical protein
2710	SA_RS13690	WP_000860047.1	.	3-methyl-2-oxobutanoate hydroxymethyltransferase
2713	SA_RS13705	WP_000846636.1	.	L-lactate dehydrogenase
2718	SA_RS13730	WP_001031409.1	.	class I fructose-bisphosphate aldolase
2719	SA_RS13735	WP_001130051.1	.	malate:quinone oxidoreductase
2723	SA_RS13755	WP_000011688.1	.	hypothetical protein
2724	SA_RS13760	WP_000066521.1	.	oxygen-dependent choline dehydrogenase
2725	SA_RS13765	WP_000421713.1	.	betaine-aldehyde dehydrogenase
2726	SA_RS13770	WP_001789908.1	.	hypothetical protein
2731	SA_RS13795	WP_000173331.1	.	anaerobic ribonucleoside-triphosphate reductase activating protein
2732	SA_RS13800	WP_001071729.1	.	anaerobic ribonucleoside-triphosphate reductase
2739	SA_RS13835	WP_041202014.1	.	hypothetical protein
2752	SA_RS13900	WP_000138218.1	.	transcriptional regulator
2754	SA_RS13910	WP_001005835.1	.	arginine-ornithine antiporter
2756	SA_RS13920	WP_000129417.1	.	arginine deiminase
2766	SA_RS13970	WP_001125628.1	.	N-acetylmuramoyl-L-alanine amidase
2825	SA_RS14265	WP_001059079.1	.	cold-shock protein
2828	SA_RS14280	WP_000491382.1	.	hypothetical protein
2830	SA_RS14290	WP_000215587.1	.	ribosomal RNA small subunit methyltransferase G
2832	SA_RS14300	WP_000362509.1	.	tRNA modification GTPase
2833	SA_RS14305	WP_000409682.1	rnpA	ribonuclease P protein component
2834	SA_RS14310	WP_000240855.1	.	50S ribosomal protein L34
